x,V
   -1.548000,   -9.110384
   -1.544000,   -9.078105
   -1.540000,   -9.045757
   -1.536000,   -9.013341
   -1.532000,   -8.980859
   -1.528000,   -8.948312
   -1.524000,   -8.915700
   -1.520000,   -8.883026
   -1.516000,   -8.850290
   -1.512000,   -8.817493
   -1.508000,   -8.784636
   -1.504000,   -8.751722
   -1.500000,   -8.718750
   -1.496000,   -8.685722
   -1.492000,   -8.652640
   -1.488000,   -8.619503
   -1.484000,   -8.586314
   -1.480000,   -8.553074
   -1.476000,   -8.519783
   -1.472000,   -8.486444
   -1.468000,   -8.453056
   -1.464000,   -8.419621
   -1.460000,   -8.386141
   -1.456000,   -8.352616
   -1.452000,   -8.319047
   -1.448000,   -8.285436
   -1.444000,   -8.251784
   -1.440000,   -8.218092
   -1.436000,   -8.184360
   -1.432000,   -8.150591
   -1.428000,   -8.116784
   -1.424000,   -8.082942
   -1.420000,   -8.049066
   -1.416000,   -8.015155
   -1.412000,   -7.981212
   -1.408000,   -7.947238
   -1.404000,   -7.913234
   -1.400000,   -7.879200
   -1.396000,   -7.845138
   -1.392000,   -7.811049
   -1.388000,   -7.776934
   -1.384000,   -7.742794
   -1.380000,   -7.708630
   -1.376000,   -7.674444
   -1.372000,   -7.640235
   -1.368000,   -7.606006
   -1.364000,   -7.571757
   -1.360000,   -7.537490
   -1.356000,   -7.503205
   -1.352000,   -7.468903
   -1.348000,   -7.434587
   -1.344000,   -7.400255
   -1.340000,   -7.365910
   -1.336000,   -7.331553
   -1.332000,   -7.297185
   -1.328000,   -7.262806
   -1.324000,   -7.228418
   -1.320000,   -7.194021
   -1.316000,   -7.159617
   -1.312000,   -7.125207
   -1.308000,   -7.090792
   -1.304000,   -7.056373
   -1.300000,   -7.021950
   -1.296000,   -6.987525
   -1.292000,   -6.953099
   -1.288000,   -6.918672
   -1.284000,   -6.884247
   -1.280000,   -6.849823
   -1.276000,   -6.815401
   -1.272000,   -6.780984
   -1.268000,   -6.746571
   -1.264000,   -6.712164
   -1.260000,   -6.677763
   -1.256000,   -6.643370
   -1.252000,   -6.608986
   -1.248000,   -6.574611
   -1.244000,   -6.540246
   -1.240000,   -6.505893
   -1.236000,   -6.471552
   -1.232000,   -6.437225
   -1.228000,   -6.402912
   -1.224000,   -6.368614
   -1.220000,   -6.334333
   -1.216000,   -6.300068
   -1.212000,   -6.265822
   -1.208000,   -6.231594
   -1.204000,   -6.197387
   -1.200000,   -6.163200
   -1.196000,   -6.129035
   -1.192000,   -6.094893
   -1.188000,   -6.060774
   -1.184000,   -6.026680
   -1.180000,   -5.992611
   -1.176000,   -5.958569
   -1.172000,   -5.924553
   -1.168000,   -5.890566
   -1.164000,   -5.856608
   -1.160000,   -5.822680
   -1.156000,   -5.788783
   -1.152000,   -5.754917
   -1.148000,   -5.721085
   -1.144000,   -5.687285
   -1.140000,   -5.653520
   -1.136000,   -5.619790
   -1.132000,   -5.586096
   -1.128000,   -5.552439
   -1.124000,   -5.518821
   -1.120000,   -5.485240
   -1.116000,   -5.451700
   -1.112000,   -5.418199
   -1.108000,   -5.384741
   -1.104000,   -5.351324
   -1.100000,   -5.317950
   -1.096000,   -5.284620
   -1.092000,   -5.251335
   -1.088000,   -5.218095
   -1.084000,   -5.184902
   -1.080000,   -5.151756
   -1.076000,   -5.118657
   -1.072000,   -5.085608
   -1.068000,   -5.052608
   -1.064000,   -5.019659
   -1.060000,   -4.986762
   -1.056000,   -4.953916
   -1.052000,   -4.921123
   -1.048000,   -4.888384
   -1.044000,   -4.855700
